destination,mood_tags,ideal_group,avg_budget_per_day_inr,best_months,sample_itinerary,type,base_destination,validated_state,state
Araku Cliff,"spiritual, wildlife, chill, remote","couples, family",2059,Sep - Dec,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Araku,Andhra Pradesh,Andhra Pradesh
Matheran Creek,"hiking, nature, forest, photography","family, solo",2243,Apr - Jul,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Matheran,Maharashtra,Maharashtra
Nilkanth Summit,"nature, chill, romantic","solo, friends",2720,Jun - Sep,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Nilkanth,Uttarakhand,Uttarakhand
Chikmagalur Cove,"snow, wildlife, solo, friends, trek",solo,2360,Jan - Mar,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Chikmagalur,Karnataka,Karnataka
Dzongri Valley,"trek, chill, romantic, forest","family, friends",3023,Jan - Mar,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Dzongri,Sikkim,Sikkim
Panchgani Forest,"wildlife, remote, snow, spiritual","couples, friends, family",1335,May - Aug,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Panchgani,Maharashtra,Maharashtra
Nilkanth Glade,"adventure, snow, hiking",couples,3088,Jul - Oct,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Nilkanth,Uttarakhand,Uttarakhand
Markha Summit,"chill, photography, spiritual",solo,2678,May - Aug,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Markha,Ladakh,Ladakh
Lonavala Trails,"photography, forest, wildlife","solo, couples, friends",1325,Jan - Mar,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Lonavala,Maharashtra,Maharashtra
Dzukou Peak,"spiritual, hiking, solo, adventure",solo,2449,Feb - Apr,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Dzukou,Nagaland,Nagaland
Pindari Bluff,"solo, nature, trek, photography","family, couples",2926,May - Aug,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Pindari,Uttarakhand,Uttarakhand
Coorg Trails,"remote, hiking, trek, snow, wildlife",solo,2320,Aug - Nov,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Coorg,Karnataka,Karnataka
Nilkanth Trails,"solo, chill, forest",solo,3159,Sep - Dec,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Nilkanth,Uttarakhand,Uttarakhand
Coorg Meadows,"photography, forest, hiking","family, couples, friends",2101,Mar - Jun,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Coorg,Karnataka,Karnataka
Wayanad Peak,"photography, solo, romantic, spiritual","friends, solo, family",2147,Jan - Mar,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Wayanad,Kerala,Kerala
Dodital Lake,"friends, hiking, snow","friends, couples",2569,Mar - Jun,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Dodital,Uttarakhand,Uttarakhand
Rajmachi Lake,"hiking, trek, solo",couples,3408,Jun - Sep,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Rajmachi,Maharashtra,Maharashtra
Dzukou Summit,"hiking, adventure, wildlife, remote, trek","family, friends",2075,Jan - Mar,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Dzukou,Nagaland,Nagaland
Markha Lake,"wildlife, remote, snow, spiritual","friends, family",2068,Jan - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Markha,Ladakh,Ladakh
Panchgani Cliff,"trek, nature, spiritual, remote",solo,1719,May - Aug,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Panchgani,Maharashtra,Maharashtra
Amboli Summit,"hiking, spiritual, adventure",friends,1341,Oct - Mar,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Amboli,Maharashtra,Maharashtra
Dzukou Glade,"romantic, remote, trek","solo, family, friends",1769,May - Aug,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Dzukou,Nagaland,Nagaland
Anamudi Glade,"nature, chill, remote, solo","couples, solo",2064,Mar - Jun,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Anamudi,Kerala,Kerala
Pindari View,"remote, hiking, solo, forest",couples,2878,Feb - Apr,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Pindari,Uttarakhand,Uttarakhand
Kudremukh Glade,"solo, trek, adventure, hiking, forest","friends, family",2306,Jun - Sep,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Kudremukh,Karnataka,Karnataka
Kudremukh Summit,"photography, remote, adventure",friends,1869,Jul - Oct,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Kudremukh,Karnataka,Karnataka
Coorg Bluff,"photography, snow, trek, remote, nature",friends,3119,Jul - Oct,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Coorg,Karnataka,Karnataka
Panchgani Bluff,"solo, snow, adventure","friends, family",3496,Apr - Jul,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Panchgani,Maharashtra,Maharashtra
Kudremukh Point,"spiritual, nature, remote, chill","friends, couples",2153,Jun - Sep,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Kudremukh,Karnataka,Karnataka
Kanha Valley,"trek, romantic, spiritual, hiking, snow",couples,1895,May - Aug,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Kanha,Madhya Pradesh,Madhya Pradesh
Brahmagiri Lake,"photography, hiking, spiritual, nature, chill",couples,2956,Oct - Mar,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Brahmagiri,Karnataka,Karnataka
Kanha Glade,"photography, adventure, hiking","couples, family, solo",3257,Aug - Nov,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Kanha,Madhya Pradesh,Madhya Pradesh
Kudremukh Nest,"romantic, wildlife, friends, hiking, spiritual","solo, family",2722,Oct - Mar,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Kudremukh,Karnataka,Karnataka
Sundarbans Camp,"snow, hiking, spiritual, nature, wildlife","couples, solo",2855,Jan - Mar,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Sundarbans,West Bengal,West Bengal
Chikmagalur Creek,"romantic, hiking, remote",family,3077,Apr - Jul,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Chikmagalur,Karnataka,Karnataka
Dzongri Heights,"hiking, adventure, chill, remote, friends",friends,3456,Sep - Dec,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Dzongri,Sikkim,Sikkim
Sandakphu Heights,"nature, romantic, wildlife",solo,3093,Mar - Jun,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Sandakphu,West Bengal,West Bengal
Goechala Hollow,"chill, forest, trek","friends, solo, family",3434,Aug - Nov,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Goechala,Sikkim,Sikkim
Tadiandamol Base,"spiritual, solo, remote, trek, adventure","friends, family, solo",2980,Jun - Sep,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Tadiandamol,Karnataka,Karnataka
Nilkanth Falls,"spiritual, trek, snow",couples,3472,Sep - Dec,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Nilkanth,Uttarakhand,Uttarakhand
Brahmagiri Nest,"photography, friends, trek","friends, family",1835,Mar - Jun,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Brahmagiri,Karnataka,Karnataka
Kudremukh Peak,"wildlife, adventure, snow, solo, romantic","family, couples, solo",3149,Jun - Sep,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Kudremukh,Karnataka,Karnataka
Tadiandamol Summit,"wildlife, romantic, solo","couples, friends, family",2244,Sep - Dec,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Tadiandamol,Karnataka,Karnataka
Dodital Peak,"remote, hiking, solo",couples,2784,Jul - Oct,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Dodital,Uttarakhand,Uttarakhand
Tawang Cove,"trek, spiritual, solo",couples,2287,May - Aug,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Tawang,Arunachal Pradesh,Arunachal Pradesh
Wayanad Meadows,"friends, adventure, remote",solo,1339,Apr - Jul,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Wayanad,Kerala,Kerala
Amboli Point,"wildlife, snow, adventure",friends,1374,Oct - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Amboli,Maharashtra,Maharashtra
Dodital Forest,"adventure, photography, spiritual, chill, romantic",couples,2207,Jul - Oct,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Dodital,Uttarakhand,Uttarakhand
Sundarbans Cliff,"solo, adventure, hiking, wildlife, forest",solo,3074,Jun - Sep,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Sundarbans,West Bengal,West Bengal
Araku Summit,"forest, snow, solo, spiritual","friends, couples, solo",3380,Feb - Apr,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Araku,Andhra Pradesh,Andhra Pradesh
Nanda Cove,"trek, forest, friends, spiritual, snow",couples,2580,Nov - Feb,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Nanda,Uttarakhand,Uttarakhand
Pindari Nest,"nature, snow, adventure, forest",couples,2620,May - Aug,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Pindari,Uttarakhand,Uttarakhand
Rajmachi Cliff,"friends, remote, photography, wildlife, nature","family, couples",1483,Aug - Nov,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Rajmachi,Maharashtra,Maharashtra
Lonavala Bluff,"friends, wildlife, snow, spiritual, hiking","friends, solo",2285,Apr - Jul,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Lonavala,Maharashtra,Maharashtra
Nilkanth Meadows,"solo, nature, wildlife, remote, chill","friends, solo, couples",2184,Jul - Oct,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Nilkanth,Uttarakhand,Uttarakhand
Araku Meadows,"solo, snow, adventure, nature, wildlife","friends, couples, family",3274,Jun - Sep,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Araku,Andhra Pradesh,Andhra Pradesh
Nanda Cliff,"forest, friends, nature","solo, family, couples",2350,Mar - Jun,"Day 1: Arrival and campsite setup
Day 2: Team-building games and bonfire night
Day 3: River exploration and forest trail
Day 4: Survival skills workshop and night under stars
Day 5: Morning yoga and departure",camp,Nanda,Uttarakhand,Uttarakhand
Rajmachi Trails,"romantic, solo, nature","solo, family",2695,Jun - Sep,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Rajmachi,Maharashtra,Maharashtra
Agumbe Creek,"snow, remote, photography, forest, solo",family,2676,Jul - Oct,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Agumbe,Karnataka,Karnataka
Agumbe Peak,"snow, romantic, solo, friends",friends,1594,Aug - Nov,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Agumbe,Karnataka,Karnataka
Tawang Lake,"romantic, spiritual, chill, solo","solo, couples",1886,Feb - Apr,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Tawang,Arunachal Pradesh,Arunachal Pradesh
Kanha Bluff,"trek, solo, romantic","couples, family, solo",3366,Sep - Dec,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Kanha,Madhya Pradesh,Madhya Pradesh
Ziro Lake,"remote, forest, hiking, nature","family, friends, solo",2563,Jul - Oct,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Ziro,Arunachal Pradesh,Arunachal Pradesh
Kudremukh Meadows,"remote, snow, trek, forest, solo","solo, couples, family",2136,Jul - Oct,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Kudremukh,Karnataka,Karnataka
Araku Bluff,"nature, forest, wildlife","solo, friends",2585,Feb - Apr,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Araku,Andhra Pradesh,Andhra Pradesh
Agumbe Base,"solo, forest, wildlife, trek","couples, friends, solo",1202,Jun - Sep,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Agumbe,Karnataka,Karnataka
Dzukou Trails,"remote, romantic, snow, chill","family, couples",3472,Aug - Nov,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Dzukou,Nagaland,Nagaland
Goechala Creek,"romantic, hiking, trek, forest, chill","solo, family, couples",2457,Jun - Sep,"Day 1: Equipment check and warm-up hike
Day 2: Trek to high-altitude camp
Day 3: Peak ascent and photo session
Day 4: Explore hidden waterfalls
Day 5: Trek back and departure",trek,Goechala,Sikkim,Sikkim
Brahmagiri Point,"snow, solo, adventure, hiking, trek","couples, family",2680,Sep - Dec,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Brahmagiri,Karnataka,Karnataka
Brahmagiri Glade,"hiking, solo, friends",solo,3149,Nov - Feb,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Brahmagiri,Karnataka,Karnataka
Lonavala Nest,"remote, friends, adventure, romantic, spiritual","friends, family, solo",1488,Oct - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Lonavala,Maharashtra,Maharashtra
Goechala Point,"adventure, wildlife, trek, forest","couples, solo, friends",2727,May - Aug,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Goechala,Sikkim,Sikkim
Anamudi Falls,"remote, adventure, hiking, solo","solo, couples, family",2403,Mar - Jun,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Anamudi,Kerala,Kerala
Velhe Trails,"chill, forest, nature, adventure, hiking","couples, solo, family",2435,Mar - Jun,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Velhe,Maharashtra,Maharashtra
Kudremukh Base,"forest, photography, wildlife",couples,3255,Nov - Feb,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Kudremukh,Karnataka,Karnataka
Dodital Bluff,"nature, adventure, solo","couples, family",3381,Sep - Dec,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Dodital,Uttarakhand,Uttarakhand
Chembra Forest,"romantic, wildlife, photography, spiritual",family,2602,Jan - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Chembra,Kerala,Kerala
Tadiandamol Hollow,"photography, hiking, spiritual, snow","friends, solo",1959,Nov - Feb,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Tadiandamol,Karnataka,Karnataka
Agumbe Forest,"forest, adventure, remote, friends, spiritual","friends, couples",2568,Apr - Jul,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Agumbe,Karnataka,Karnataka
Tadiandamol Forest,"chill, trek, solo, nature","family, couples, friends",1381,Apr - Jul,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Tadiandamol,Karnataka,Karnataka
Panchgani Glade,"hiking, snow, remote, chill","family, friends",1426,Sep - Dec,"Day 1: Orientation and local exploration
Day 2: Full-day ridge line trek
Day 3: Explore caves and remote trail
Day 4: Campfire at base and rest
Day 5: Downhill hike and pack up",trek,Panchgani,Maharashtra,Maharashtra
Amboli View,"forest, nature, photography, solo",couples,1414,Nov - Feb,"Day 1: Tent pitching and orientation
Day 2: Nature walk and art-in-the-wild session
Day 3: Mountain biking and lakeside chill
Day 4: Stargazing and group reflections
Day 5: Early hike and return journey",camp,Amboli,Maharashtra,Maharashtra
Dzongri Falls,"wildlife, nature, remote, adventure, spiritual",friends,2536,Jan - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Dzongri,Sikkim,Sikkim
Wayanad Forest,"solo, forest, remote, nature, hiking","family, couples, solo",1550,Feb - Apr,"Day 1: Arrival and trail briefing
Day 2: Trek through forest and camp at base
Day 3: Climb to summit and explore peak
Day 4: Descent and river crossing trek
Day 5: Return hike and closing circle",trek,Wayanad,Kerala,Kerala
Dzukou Valley,"wildlife, solo, spiritual, friends, adventure","family, friends",3206,Jan - Mar,"Day 1: Settle in and explore surroundings
Day 2: Canoeing and riverside picnic
Day 3: Birdwatching and group cooking
Day 4: Trek to nearby hill and campfire session
Day 5: Clean-up and farewell",camp,Dzukou,Nagaland,Nagaland
